,Que,Category
0,Discuss a situation where you had to handle a challenging decision within your team.,Behavioural
1,"How does the A* algorithm work, and in what contexts is it commonly used?",DSA
2,Explain the concept of a suffix tree and its applications in string processing and pattern matching.,DSA
3,How would you design a system to handle user authentication and authorization securely?,System_design
4,What are the ethical considerations in AI research and development?,AI
5,Tell me about a time when you had to collaborate with a team member who had a different work style.,Behavioural
6,Describe the random forest algorithm and its limitations.,AI
7,Can you give an example of when you had to take the lead on a project or initiative?,Behavioural
8,How would you design a system to handle data compression for efficient storage and transmission?,System_design
9,Explain the concept of document classification in legal document analysis.,AI
10,What measures would you take to ensure data consistency in a system with eventual consistency?,System_design
11,Describe the working principle of the TF-IDF (Term Frequency-Inverse Document Frequency) model.,AI
12,"Define the term ""preprocessing"" in the context of NLP.",AI
13,What is the significance of named entity recognition (NER) in academic research papers?,AI
14,"What is the purpose of a topological sort in directed acyclic graphs, and how is it applied in real-world scenarios?",DSA
15,What is the role of a device driver in an operating system?,CS_fundamentals
16,"How does the Bellman-Ford algorithm work, and in what scenarios is it used?",DSA
17,How do you handle situations where you need to work with colleagues who have different work styles?,Behavioural
18,What factors influence your decision on using a relational database vs. a document store for specific use cases?,System_design
19,"What is the purpose of a depth-first search (DFS) in a graph, and how can it be implemented?",DSA
20,How does the Kruskal's algorithm handle disconnected components in a graph?,DSA
21,"Describe the working principles of the Boyer-Moore-Horspool string search algorithm and analyze its time complexity.    How does a hash table work, and what is its time complexity for average and worst-case scenarios?",DSA
22,"Define the term ""semantic similarity"" in the context of NLP.",AI
23,"Define the term ""feature engineering"" in machine learning.",AI
24,Discuss the advantages and disadvantages of using a recursive vs. an iterative approach in algorithm design.,DSA
25,Describe a moment when you had to manage a difficult relationship with a colleague or superior.,Behavioural
26,What factors influence your decision on using a relational database vs. a document store for specific use cases?,System_design
27,Describe the principles behind the Dijkstra's algorithm and how it ensures the shortest path in a weighted graph.,DSA
28,"What are the key characteristics of a trie data structure, and in what scenarios is it particularly useful?",DSA
29,Discuss the principles behind the A* algorithm and its applications in pathfinding.,DSA
30,How does named entity recognition (NER) work in NLP?,AI
31,How does AI contribute to predictive maintenance in industries?,AI
32,What is the role of the expectation-maximization (EM) algorithm in clustering?,AI
33,Explain the principles behind designing a system with a reactive microservices architecture.,System_design
34,Explain the working principles of the Kosaraju's algorithm for finding strongly connected components in a directed graph.,DSA
35,Describe the working principles of the Boyer-Moore-Horspool string search algorithm and analyze its time complexity.,DSA
36,How does denormalization differ from normalization in databases?,CS_fundamentals
37,Describe the k-medoids clustering algorithm and its advantages.,AI
38,Tell me about a time when you successfully implemented a new process or procedure.,Behavioural
39,How do you handle situations where you need to work with colleagues who have different work styles?,Behavioural
40,Explain the concept of a suffix tree and its applications in string processing and pattern matching.,DSA
41,"What is the role of a hash table in preventing collisions, and how are collisions typically handled?",DSA
42,What measures would you take to ensure data consistency in a system with eventual consistency?,System_design
43,"What is the significance of the term ""divide and conquer"" in algorithm design, and can you provide an example?",DSA
44,Discuss the role of a service registry in a microservices architecture and its impact on service discovery.,System_design
45,Describe the principles behind the Dijkstra's algorithm and how it ensures the shortest path in a weighted graph.,DSA
46,Can you outline the steps involved in designing a system with a polyglot programming language approach?,System_design
47,Can you explain your approach to designing a system with a circuit breaker pattern for fault tolerance?,System_design
48,Discuss the pros and cons of using a relational database vs. a NoSQL database in a specific system scenario.,System_design
49,What is the role of the WHERE clause in a database query?,CS_fundamentals
50,How do you design a system to handle concurrent requests while maintaining data integrity?,System_design
51,Discuss the role of a service registry in a microservices architecture and its impact on service discovery.,System_design
52,What is the role of the SQL GROUP BY clause in aggregating and summarizing data?,CS_fundamentals
53,Tell me about a time when you had to collaborate with a team member who was not pulling their weight.,Behavioural
54,Describe the working principles of the Kruskal's algorithm for finding a minimum spanning tree in a connected graph.,DSA
55,What is the purpose of the swap space in virtual memory?,CS_fundamentals
56,Tell me about a time when you had to handle a difficult conversation with a co-worker.,Behavioural
57,"Define the term ""model generalization"" in machine learning.",AI
58,Explain the concept of database triggers and their use in enforcing business rules.,CS_fundamentals
59,Can you share an example of when you had to navigate through office politics to achieve a goal?,Behavioural
60,Describe a time when you had to handle a confidential or sensitive situation at work.,Behavioural
61,Describe the purpose of a buffer cache in an operating system.,CS_fundamentals
62,Explain the working principles of the Kosaraju's algorithm for finding strongly connected components in a directed graph.,DSA
63,Explain the concept of a skip list data structure and its applications in fast search and insertion operations.,DSA
64,How do you handle situations where you need to work with colleagues who have different work styles?,Behavioural
65,Can you outline the steps involved in designing a system with a message-driven architecture?,System_design
66,Explain the purpose of a dirty bit in page tables.,CS_fundamentals
67,"What is the role of a topological sort in directed acyclic graphs, and how is it applied in real-world scenarios?",DSA
68,Explain the concept of linear regression in machine learning.,AI
69,How do you handle data synchronization between different components in a distributed system?,System_design
70,What is a critical section in the context of process synchronization?,CS_fundamentals
71,Explain the working principles of the Ford-Fulkerson algorithm for solving the maximum flow problem in a flow network.,DSA
72,Explain the concept of a self-balancing red-black tree and its advantages in search and retrieval operations.,DSA
73,What is the purpose of ARP (Address Resolution Protocol)?,CS_fundamentals
74,Describe the functionality of a router in a computer network.,CS_fundamentals
75,Can you explain your approach to designing a system with a distributed file storage solution?,System_design
76,Explain the concept of database normalization and its goals.,CS_fundamentals
77,Discuss the considerations for designing a system that supports real-time collaboration features.,System_design
78,What is the purpose of a reverse proxy server?,CS_fundamentals
79,Explain the difference between a primary key and a unique key in databases.,CS_fundamentals
80,Describe a moment when you had to lead a team through a period of uncertainty or change.,Behavioural
81,How does a stored procedure differ from a function in databases?,CS_fundamentals
82,Explain the concept of linear regression and its limitations.,AI
83,Discuss a situation where you had to handle a project with tight timelines and limited resources.,Behavioural
