                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0631,                 2.4657,                 1.3817,                0.72941,                0.67262,                0.72946,                 0.4148,                 1.4462,                 1.9783,                 1.6488,              0.0033277,              0.0033277,              0.0033277
                      2,                0.90142,                 1.5634,                 1.2403,                0.64825,                0.69757,                0.71012,                0.40759,                 1.4947,                   1.57,                 1.7007,              0.0065951,              0.0065951,              0.0065951
                      3,                0.93465,                 1.3414,                  1.242,                0.66276,                0.72303,                0.73795,                0.40445,                 1.5938,                 1.3872,                 1.7794,              0.0097965,              0.0097965,              0.0097965
                      4,                0.93086,                 1.1731,                 1.2361,                0.74483,                0.67572,                0.75917,                 0.4105,                 1.6071,                 1.2506,                 1.7529,               0.009703,               0.009703,               0.009703
                      5,                0.87328,                 1.0231,                 1.1961,                0.72427,                0.65711,                0.73633,                0.42639,                 1.5979,                 1.3009,                 1.7646,               0.009703,               0.009703,               0.009703
                      6,                0.83407,                0.93489,                 1.1686,                0.74077,                0.69482,                0.76338,                0.39283,                 1.6357,                 1.2101,                 1.7813,               0.009604,               0.009604,               0.009604
                      7,                0.78969,                0.86784,                 1.1409,                0.77512,                0.78415,                0.85459,                0.50452,                 1.4731,                 1.0311,                 1.5775,               0.009505,               0.009505,               0.009505
                      8,                0.76719,                0.81524,                  1.124,                0.81053,                0.79782,                0.85767,                 0.5005,                  1.512,                0.96404,                 1.6177,               0.009406,               0.009406,               0.009406
                      9,                0.73624,                0.77283,                 1.1075,                0.77186,                0.77993,                0.83894,                0.48864,                  1.466,                 1.0006,                  1.562,               0.009307,               0.009307,               0.009307
                     10,                0.72232,                0.75118,                 1.1001,                0.79643,                0.79496,                0.85626,                0.50375,                 1.4855,                0.94041,                 1.5974,               0.009208,               0.009208,               0.009208
                     11,                0.70575,                0.72587,                 1.0856,                0.79217,                0.79478,                0.85012,                0.50936,                 1.5128,                0.92862,                 1.6067,               0.009109,               0.009109,               0.009109
                     12,                0.68998,                0.70359,                 1.0796,                0.78932,                0.79184,                0.84243,                0.49643,                 1.4799,                0.92811,                  1.569,                0.00901,                0.00901,                0.00901
                     13,                0.67647,                0.67429,                 1.0695,                0.77728,                0.80278,                0.85417,                0.49894,                 1.4942,                0.94415,                 1.5775,               0.008911,               0.008911,               0.008911
                     14,                0.66839,                0.66584,                 1.0649,                0.82996,                0.83653,                0.86682,                0.51673,                 1.4713,                0.89925,                 1.5563,               0.008812,               0.008812,               0.008812
